Club Type,Club Brand,Club Model,Carry Distance,Total Distance,Ball Speed,Launch Angle,Launch Direction,Apex,Side Carry,Club Speed,Smash Factor,Descent Angle,Spin Rate,Spin Axis,Shot Type
9i,Mizuno,JPX 923 Hot Metal HL,95.5,109.6,77.1,23.9,0.3,48.0,1.0,65.6,1.17,39.6,,,Straight
8i,Mizuno,JPX 923 Hot Metal HL,69.9,87.4,65.9,19.6,-2.9,24.2,-3.1,63.9,1.03,28.5,,,Left
8i,Mizuno,JPX 923 Hot Metal HL,99.2,117.2,80.3,19.6,1.4,40.3,3.0,63.4,1.27,34.4,,,Straight
8i,Mizuno,JPX 923 Hot Metal HL,80.8,94.1,69.2,24.6,3.2,38.7,4.9,66.7,1.04,37.3,,,Right
8i,Mizuno,JPX 923 Hot Metal HL,105.9,121.6,82.8,22.2,2.6,51.5,5.4,66.6,1.24,39.5,,,Right
8i,Mizuno,JPX 923 Hot Metal HL,96.2,111.7,78.0,21.9,2.2,43.5,4.3,66.1,1.18,37.0,,,Right
8i,Mizuno,JPX 923 Hot Metal HL,113.7,132.8,88.5,17.6,-3.9,44.9,-7.1,70.5,1.25,34.9,,,Left
8i,Mizuno,JPX 923 Hot Metal HL,110.5,125.8,85.1,22.5,-0.2,56.3,0.3,71.6,1.19,40.9,,,Straight
7i,Mizuno,JPX 923 Hot Metal HL,128.6,148.0,96.4,15.9,-1.1,49.5,-1.9,73.2,1.32,35.2,,,Straight
7i,Mizuno,JPX 923 Hot Metal HL,105.3,125.4,85.2,16.3,4.7,36.2,9.2,72.1,1.18,30.8,,,Right
6i,Mizuno,JPX 923 Hot Metal HL,133.4,152.7,98.0,16.1,-1.0,52.4,-1.5,72.1,1.36,35.8,,,Straight
6i,Mizuno,JPX 923 Hot Metal HL,80.0,100.2,73.3,16.1,-0.9,23.3,-0.8,72.1,1.02,25.1,,,Straight
6i,Mizuno,JPX 923 Hot Metal HL,122.0,139.6,91.3,19.4,0.5,55.0,1.8,72.6,1.26,38.5,,,Straight
6i,Mizuno,JPX 923 Hot Metal HL,135.0,153.3,98.2,17.1,-2.0,56.8,-3.9,72.1,1.36,37.6,,,Left
5i,Mizuno,JPX 923 Hot Metal HL,110.8,130.5,86.8,16.5,-0.7,38.6,-0.7,74.8,1.16,31.2,,,Straight
5i,Mizuno,JPX 923 Hot Metal HL,112.5,132.7,88.5,15.3,0.5,36.7,1.5,73.5,1.20,29.8,,,Straight
5i,Mizuno,JPX 923 Hot Metal HL,151.6,170.4,106.8,14.8,0.2,59.8,1.3,75.1,1.42,36.9,,,Straight
3h,Nike,CPR,142.4,165.3,106.8,9.9,1.9,35.3,5.4,76.7,1.39,25.7,,,Right
3h,Nike,CPR,138.2,156.9,98.9,16.2,4.6,52.3,11.9,78.3,1.26,34.5,,,Right
3h,Nike,CPR,101.3,119.9,81.4,18.5,4.6,38.1,8.6,79.4,1.03,32.4,,,Right
3h,Nike,CPR,156.4,179.0,111.8,10.6,-5.2,44.4,-13.4,78.8,1.42,29.4,,,Left
3w,Callaway,Paradym Jailbreak AI,152.8,186.6,119.0,5.6,-3.2,24.5,-7.7,82.0,1.45,18.6,,,Left
3w,Callaway,Paradym Jailbreak AI,167.0,199.8,122.0,6.8,-0.7,33.5,-1.2,85.9,1.42,23.0,,,Straight
3w,Callaway,Paradym Jailbreak AI,145.1,187.8,122.6,3.0,-0.2,15.5,0.3,85.3,1.44,13.4,,,Straight
sw,Custom,Custom,49.3,61.4,56.0,19.3,3.4,15.6,5.1,52.4,1.07,25.5,6405,15.4,Right
sw,Custom,Custom,41.3,48.0,46.9,27.5,4.8,19.0,4.3,44.5,1.05,33.6,7207,7.8,Right
sw,Custom,Custom,49.2,55.5,50.4,32.0,4.3,28.1,4.9,60.1,0.84,39.7,5487,7.5,Right
sw,Custom,Custom,53.6,59.1,53.9,28.6,2.4,27.5,2.7,54.6,0.99,37.4,7819,1.9,Right
sw,Custom,Custom,56.9,62.1,55.5,30.0,6.4,31.5,7.5,54.0,1.03,39.6,8010,5.0,Right
pw,Mizuno,JPX 923 Hot Metal HL,61.4,72.9,62.8,18.9,5.6,20.2,8.6,56.3,1.12,27.2,6803,12.1,Right
pw,Mizuno,JPX 923 Hot Metal HL,33.2,52.3,57.2,11.9,21.5,5.8,14.8,57.4,1.00,14.4,6451,55.5,Right
pw,Mizuno,JPX 923 Hot Metal HL,59.5,66.6,57.5,27.4,3.9,29.6,5.8,56.3,1.02,36.9,6462,8.0,Right
pw,Mizuno,JPX 923 Hot Metal HL,68.9,83.2,69.2,15.7,3.0,19.1,6.7,59.0,1.17,24.0,5660,11.8,Right
pw,Mizuno,JPX 923 Hot Metal HL,93.6,100.1,76.7,25.4,4.6,51.5,8.7,65.1,1.18,42.0,7487,1.9,Right
9i,Mizuno,JPX 923 Hot Metal HL,103.7,111.6,82.9,21.3,3.7,49.3,9.4,68.4,1.21,39.1,7027,4.2,Right
9i,Mizuno,JPX 923 Hot Metal HL,99.5,106.8,81.4,21.1,6.3,46.0,17.2,70.6,1.15,38.2,7768,11.0,Right
9i,Mizuno,JPX 923 Hot Metal HL,93.2,103.9,75.3,24.8,5.8,47.2,14.2,71.7,1.05,39.4,4533,10.0,Right
9i,Mizuno,JPX 923 Hot Metal HL,33.4,57.2,70.9,6.9,15.9,3.4,12.0,69.0,1.03,8.5,7198,60.1,Right
9i,Mizuno,JPX 923 Hot Metal HL,96.3,103.9,79.3,23.3,8.7,48.4,23.7,71.1,1.11,40.1,7476,17.5,Right
8i,Mizuno,JPX 923 Hot Metal HL,30.5,69.0,83.5,3.9,14.6,1.7,10.1,71.6,1.17,4.8,7576,62.3,Right
8i,Mizuno,JPX 923 Hot Metal HL,108.8,118.6,87.2,18.7,7.0,45.7,24.5,72.2,1.21,36.5,6633,17.4,Right
8i,Mizuno,JPX 923 Hot Metal HL,114.1,126.1,88.3,18.3,1.7,47.0,6.7,71.1,1.24,35.9,5250,4.5,Right
8i,Mizuno,JPX 923 Hot Metal HL,112.4,125.5,86.9,18.7,0.2,45.9,4.0,66.6,1.30,35.3,4800,5.2,Straight
8i,Mizuno,JPX 923 Hot Metal HL,50.6,61.7,62.5,16.1,20.8,13.2,23.5,70.5,0.89,21.9,9173,45.4,Right
7i,Mizuno,JPX 923 Hot Metal HL,121.4,133.1,92.4,18.1,4.1,51.8,16.6,68.8,1.34,37.4,5453,10.0,Right
7i,Mizuno,JPX 923 Hot Metal HL,116.1,127.1,89.9,18.7,2.2,49.6,14.4,71.5,1.26,37.1,5660,13.8,Right
7i,Mizuno,JPX 923 Hot Metal HL,131.1,143.0,97.2,18.0,5.4,58.5,21.6,74.3,1.31,39.2,5342,10.1,Right
7i,Mizuno,JPX 923 Hot Metal HL,137.6,149.1,100.5,18.3,5.3,65.4,20.8,74.8,1.34,41.2,5480,8.0,Right
7i,Mizuno,JPX 923 Hot Metal HL,108.9,119.5,88.4,16.9,6.5,40.7,25.1,74.8,1.18,33.6,6161,20.5,Right
6i,Mizuno,JPX 923 Hot Metal HL,111.2,127.7,88.4,16.2,8.8,35.5,28.4,74.8,1.18,28.5,3440,21.1,Right
6i,Mizuno,JPX 923 Hot Metal HL,48.7,67.4,64.4,10.8,-7.9,8.6,-7.2,74.2,0.87,15.3,8310,-5.1,Left
6i,Mizuno,JPX 923 Hot Metal HL,54.9,73.3,68.0,11.3,3.0,10.4,-0.4,73.7,0.92,16.8,8212,-21.3,Right
6i,Mizuno,JPX 923 Hot Metal HL,129.9,142.3,97.6,17.7,6.9,55.9,30.6,72.6,1.34,38.3,5282,17.6,Right
6i,Mizuno,JPX 923 Hot Metal HL,77.9,111.3,76.6,15.9,1.2,18.8,1.6,72.0,1.06,19.4,791,-2.0,Straight
6i,Mizuno,JPX 923 Hot Metal HL,78.5,106.5,91.6,6.4,5.8,9.4,16.7,73.1,1.25,11.8,4855,31.7,Right
5i,Mizuno,JPX 923 Hot Metal HL,114.1,124.6,90.6,18.6,11.7,47.7,39.8,72.5,1.25,36.7,5801,25.3,Right
5i,Mizuno,JPX 923 Hot Metal HL,138.7,159.6,103.3,12.2,0.3,35.7,-4.5,73.6,1.40,25.0,3054,-7.7,Straight
5i,Mizuno,JPX 923 Hot Metal HL,147.9,165.2,104.8,14.0,3.5,49.4,16.5,74.7,1.40,31.9,3699,7.7,Right
5i,Mizuno,JPX 923 Hot Metal HL,139.6,155.9,100.5,15.6,3.5,48.8,21.0,75.8,1.33,32.3,3583,14.7,Right
5i,Mizuno,JPX 923 Hot Metal HL,151.1,167.5,105.2,14.9,0.3,54.0,4.4,75.2,1.40,33.6,3674,3.3,Straight
4h,Custom,Custom,124.1,133.9,92.2,25.4,6.4,78.6,11.0,78.6,1.17,47.3,5282,-3.7,Right
3w,Callaway,Paradym Jailbreak AI,147.2,165.4,104.8,13.4,8.7,46.6,23.8,81.3,1.29,30.6,3595,1.4,Right
3w,Callaway,Paradym Jailbreak AI,118.4,142.6,103.0,9.2,-8.7,21.2,-29.6,80.2,1.28,17.6,3042,-24.7,Left
d,TaylorMade,Qi10 Max,190.5,210.8,120.9,15.6,10.4,69.1,43.6,83.4,1.45,34.2,2510,7.8,Right
d,TaylorMade,Qi10 Max,152.4,187.5,117.5,12.0,6.5,32.2,12.4,80.6,1.46,19.1,1243,-11.6,Right
d,TaylorMade,Qi10 Max,133.7,189.5,127.2,6.3,0.3,15.2,-2.9,86.7,1.47,10.9,1443,-11.2,Straight
d,TaylorMade,Qi10 Max,177.9,195.6,113.9,18.5,6.3,78.8,28.9,83.3,1.37,39.0,2880,7.7,Right
d,TaylorMade,Qi10 Max,126.2,171.4,118.9,6.8,1.3,15.4,7.5,83.9,1.42,11.6,1794,12.1,Straight
d,TaylorMade,Qi10 Max,115.0,150.3,108.3,7.5,2.4,15.3,8.1,74.0,1.46,12.5,2207,8.4,Right
d,TaylorMade,Qi10 Max,116.1,152.8,110.1,8.7,3.5,17.0,-0.9,74.6,1.48,13.4,1896,-25.8,Right
d,TaylorMade,Qi10 Max,142.8,172.3,112.7,11.3,3.8,29.0,1.5,76.0,1.48,18.7,1753,-17.3,Right
d,TaylorMade,Qi10 Max,125.4,167.4,115.3,6.3,-1.4,15.1,-0.3,80.9,1.43,11.9,2323,5.8,Straight
d,TaylorMade,Qi10 Max,136.7,171.9,116.7,7.1,5.9,19.2,18.8,78.0,1.50,14.0,2344,8.3,Right
d,TaylorMade,Qi10 Max,142.0,162.9,105.7,12.4,4.1,37.4,24.3,75.4,1.40,25.7,3087,18.7,Right
d,TaylorMade,Qi10 Max,160.1,177.8,112.9,11.9,15.1,49.3,56.3,77.5,1.46,31.3,3696,13.9,Right
d,TaylorMade,Qi10 Max,148.4,177.9,116.3,7.7,3.8,25.8,19.8,81.9,1.42,18.4,2957,13.2,Right
d,TaylorMade,Qi10 Max,174.9,201.1,115.0,15.9,8.4,55.0,23.4,79.6,1.44,28.8,1880,-3.2,Right
d,TaylorMade,Qi10 Max,152.0,175.2,112.6,10.3,7.0,33.0,14.7,79.5,1.42,21.7,2642,-5.6,Right
d,TaylorMade,Qi10 Max,156.4,172.6,107.8,16.1,5.7,58.7,34.5,76.9,1.40,34.7,3331,19.1,Right
d,TaylorMade,Qi10 Max,139.9,172.4,115.9,11.9,2.3,28.5,-7.4,80.3,1.44,18.2,1414,-34.7,Right
d,TaylorMade,Qi10 Max,177.4,197.9,114.4,16.7,7.9,66.2,31.4,78.7,1.45,34.2,2512,6.3,Right
d,TaylorMade,Qi10 Max,174.3,189.8,113.3,17.5,3.2,76.8,12.1,81.5,1.39,39.2,3285,1.6,Right
d,TaylorMade,Qi10 Max,164.6,186.4,113.7,13.1,2.6,44.7,12.4,77.7,1.46,26.0,2360,5.6,Right
d,TaylorMade,Qi10 Max,183.4,197.9,119.4,19.4,7.0,97.5,45.3,84.8,1.41,45.2,3574,16.0,Right
d,TaylorMade,Qi10 Max,151.2,164.0,108.8,18.2,8.7,70.7,52.5,78.8,1.38,41.8,4578,28.1,Right
d,TaylorMade,Qi10 Max,154.3,168.7,106.2,17.4,2.6,65.7,23.3,81.4,1.30,38.1,3757,15.2,Right
d,TaylorMade,Qi10 Max,182.2,208.8,118.5,15.8,2.3,57.3,0.9,81.6,1.45,28.9,1821,-8.1,Right
d,TaylorMade,Qi10 Max,138.3,168.6,116.0,11.7,2.8,27.8,-8.1,80.4,1.44,18.1,1617,-38.7,Right
d,TaylorMade,Qi10 Max,156.5,176.5,109.3,14.1,8.1,49.0,36.9,75.7,1.44,30.0,2989,16.4,Right
d,TaylorMade,Qi10 Max,148.0,166.9,113.5,9.2,3.5,33.3,29.2,83.5,1.36,23.8,3777,23.0,Right
d,TaylorMade,Qi10 Max,163.2,185.2,112.7,13.4,0.4,44.9,5.4,79.6,1.42,26.2,2344,4.8,Straight
